s_ph,s_temp,s_do,s_turbidity,index_heure
-0.02147,-0.0862,-0.05243,-1.0205,423
0.1621,0.001118,0.1318,-3.807,424
-0.1735,0.04446,0.0922,5.156,425
-0.02295,-0.02353,-0.1984,-1.63,426
0.2255,0.006405,-0.01926,-2.188,427
-0.2031,0.01002,0.265,2.186,428
-0.02533,0.0061,-0.2854,-0.10065,429
0.2163,-0.010895,0.05475,-0.3467,430
-0.1667,-0.004,0.252,-1.446,431
-0.04996,0.05997,-0.3337,2.176,432
0.1733,-0.0312,0.08966,0.08075,433
-0.0894,-0.001572,0.2732,-3.05,434
-0.04437,0.04245,-0.4624,3.443,435
0.0742,-0.03647,0.2473,-0.2389,436
-0.04825,0.03046,0.2429,-2.746,437
0.0233,-0.00989,-0.4636,2.3,438
0.03044,-0.05917,0.0775,0.2238,439
-0.088,0.06726,0.4585,-1.801,440
0.0633,0.0116,-0.3293,1.302,441
0.03418,-0.1136,-0.418,0.6016,442
-0.106,0.08215,0.748,-1.96,443
0.0891,0.04993,-0.0697,0.4104,444
0.02367,-0.1753,-0.848,2.092,445
-0.1178,0.09607,0.8286,-1.535,446
0.0799,0.0814,0.1628,-1.901,447
0.01994,-0.205,-0.975,3.61,448
-0.0562,0.087,0.8076,-1.424,449
0.03638,0.12494,0.02422,-1.903,450
-0.02202,-0.1729,-0.675,2.916,451
0.01697,0.0541,0.574,-1.151,452
0.0148,0.10254,0.02663,-0.1846,453
-0.0683,-0.0829,-0.4346,-0.3457,454
0.0599,-0.00612,0.3093,0.2351,455
0.01677,0.02545,0.1073,1.981,456
-0.04996,0.065,-0.2878,-3.436,457
-0.02467,-0.03586,0.0388,0.958,458
0.09204,-0.09357,0.2386,3.354,459
-0.02179,0.1782,-0.1385,-5.25,460
-0.1274,-0.075,-0.1946,3.47,461
0.169,-0.1282,0.3135,0.4153,462
-0.01768,0.2051,-0.0839,-3.953,463
-0.1694,-0.07306,-0.1197,5.324,464
0.2003,-0.1364,0.08026,-3.682,465
-0.04315,0.1573,-0.01253,-0.2659,466
-0.129,-0.03986,0.02544,4.105,467
0.12274,-0.06415,0.01307,-4.516,468
-0.00818,0.01741,-0.09735,1.089,469
-0.03653,0.009834,0.0664,1.864,470
-0.01544,-0.003418,0.0435,-1.352,471
0.06216,-0.06027,-0.08777,-0.192,472
-0.03038,0.0742,-0.02498,-0.823,473
-0.07275,0.03555,0.1724,3.107,474
0.1626,-0.1059,-0.0991,-2.566,475
-0.1177,0.06128,-0.2452,-1.301,476
-0.0674,0.06247,0.4734,4.742,477
0.2197,-0.0878,-0.2239,-4.42,478
-0.1508,0.03134,-0.2903,1.321,479
-0.06396,0.0674,0.623,1.381,480
-2.56e-06,3.48e-05,0.001006,-0.001347,481
-2.56e-06,3.48e-05,0.001006,-0.001347,482
-2.56e-06,3.48e-05,0.001006,-0.001347,483
-2.56e-06,3.48e-05,0.001006,-0.001347,484
-2.56e-06,3.48e-05,0.001006,-0.001347,485
-2.56e-06,3.48e-05,0.001006,-0.001347,486
-2.56e-06,3.48e-05,0.001006,-0.001347,487
